seriesId,title,authors,category,subcategory,description,pubPeriod,ageGrade,viewCount,ratingCount,ratingSum,thumbnail,tags,totalCount
61992443,마론 후작,자야,웹소설,로판,"하필이면 곧 죽을 운명인 희대의 악녀,
헤일리의 몸에 빙의했다.

그나마 다행이라는 점은 죽기까지 1년이 남았다는 점이지만
안심할 틈도 없이 협곡 아래 오염된 지역에 버려지고 말았다.

'명색이 빙의자인데!'

하지만 죽으라는 법은 없었는지

“알겠냐? 이미 지나간 과거에 집착해서 
화를 내다보면 내일의 일을 그르치게 되어 있어. 
이게 다 옛 성현들이 남겨 주신 지혜지.”

1년 후. 난 멀쩡히 살아서 농사를 짓고 있다.

* * *

사실 평범한(?) 악녀인 줄 알았던 헤일리는 천재였다
마기도 다스릴 줄 알고
좀비가 된 사람을 정화할 줄도 알았다.

낭비하기엔 아까운 재능이라 조금 열심히 살았더니

“당신이 가진 거 다 사면 얼마야?”
“예, 예? 살려 주십쇼.”

그 사이에 '악마 후작'이라는 별명도 붙고
나를 물가에 내놓은 어린애 보듯 하는 떨거지들도 생겼다.

“전 안 나갑니다!”
“왜! 도대체 왜!”
“영주님 땅에서 빌붙어 살려고요!”

악마 후작이라며! 근데 왜 날 안 무서워해!

억울한 빙의자 헤일리가 마론 영지를 발전시키고
님도 보고 뽕도 따는 힐링 농사 로맨스판타지 소설 <마론 후작>
+끝도 없이 밀려드는 남주 후보 주의

표지 일러스트: BM
삽화: Breeze","월, 화, 수, 목, 금",All,71001279,359383,3581152,//page-images.kakaoentcdn.com/download/resource?kid=eWUjj/dJMb9LKyzjv/FK9hqaLxuxok3xk1CcPWTk&filename=o1,"로맨스판타지, 빙의물, 중세물, 가상시대물, 순정남, 나쁜남자, 능글남, 유혹남, 대형견남, 직진남, 능력녀, 걸크러쉬, 힐링물, 개그물, 인외존재",413
65171279,괴담에 떨어져도 출근을 해야 하는구나,백덕수,웹소설,현판,"소중한 연차까지 내고 갈 정도로 좋아하던 '어떤 현대판타지' 팝업 이벤트.
그리고 그날, 그 현판 속으로 빙의당했다.
무려 유명 대기업에 막 취직한 신입사원으로!

복지 좋고 연봉 좋고 직속 상사들까지 친절하고 유능한 꿈의 직장.
나만이 아는 세계관 정보들을 잘 활용해 초고속 승진을 거듭하는 나!
행복하냐고요?

집에 보내주세요, 제발.

※특이사항 : 장르가 괴담임.","월, 화, 수, 목, 금",Fifteen,217831773,1215760,12134529,//page-images.kakaoentcdn.com/download/resource?kid=d8JGYU/hAKLHNcl1H/UTsKwnr3uWTkuNfea8K89k&filename=o1,"회사원, 고인물, 착각, 미스테리",248
60616584,일레스톤 저택의 100가지 저주,틴타,웹소설,판타지,"양산형 판타지 소설에 빙의했다.
문제는 주인공을 위해 목숨을 희생하는 세계 최강 설정의 네크로맨서 조연이라는 것.

'웃기고 있네!'

이 힘을 가지고 미쳤다고 목숨을 희생하며 주인공을 따라가겠어?
그래서 여기 왔다.
작중 악역인 레이탄스 오르 일레스톤의 저택으로.
나를 필요로 할 곳으로.
내가 제일 떵떵거리며 살 수 있는 곳으로.

“저택의 저주를 풀어드릴게요. 대신 절 키워주세요.”

살기 위해서는, 조금 무섭지만 어쩔 수 없지.

내가 이 저택의 구원자가 되야겠다.

***

<일레스톤 저택의 지침서>

첫 번째, 저택의 입구로 출입을 금한다. 가까이 다가가서도 안 되며 외출 시 뒷길을 이용할 것.
지키지 않을 시 목숨을 보장하지 못한다.

.
.
.

백 번째, 플로리에 부인의 방에는 절대 들어가지 마시오. 문을 두드리거나 근처를 지나쳐서도 안 된다.
또한 부인의 식사는 매끼 두 사람 분을 챙길 것.","월, 수, 금",All,8240087,43255,428704,//page-images.kakaoentcdn.com/download/resource?kid=bF38PO/hzMT1pnUZq/0bVuGfRrrjknh61MkeT1Fk&filename=o1,미스테리,296
67272075,마탑 키워서 대마법사,구스타몽,웹소설,판타지,"[개체 ‘성신우’에게 각성 자격이 주어집니다.]
[직업: 마탑주]
[등급은 EX(초월)입니다!]
[Tip! 소환소에서 마법사를 소환하여 탑을 성장시키십시오.]
[탑의 모든 것이 마탑주인 당신의 것입니다.]

딸깍-

접었던 꿈인 헌터.
어쩐지 해볼 만할 거 같다.


[마탑 키워서 대마법사]",매일,All,639575,3585,34804,//page-images.kakaoentcdn.com/download/resource?kid=bitYBV/dJMb9XqGeoH/kAkSKTKpbEhH6PMjawr6NK&filename=o1,"천재, 영지, 먼치킨, 이종족, 마법사, 조력자, 시스템, 착각, 이능력",132
67324606,스승님을 위한 완벽한 플랜,연한,웹소설,로판,"스승님 대신 죽기로 했다.


내 스승님이 여주의 불치병 치료를 위해 희생하는 서브남이었다.
구해 주신 목숨은 목숨으로 갚을 테니, 스승님은 사랑만 하세요!
내 계획은 완벽했다.

“나보다 저놈이 더 중요해졌니?”

스승님이 갑자기 달라지기 전까지는.

#목숨 바쳐 헌신하는 제자 #무자각 집착남 스승님
#스승님, 그냥 연애나 하라니까요?
#응 안 해. 너나 해.(나랑)","월, 화, 수, 목, 금",All,132142,826,8128,//page-images.kakaoentcdn.com/download/resource?kid=j2Rhz/dJMb9cuCPx3/kBdU6N4ruw7ygU0skh7YOk&filename=o1,"로맨스판타지, 착각물, 짝사랑, 소유욕/독점욕, 엉뚱발랄녀, 짝사랑녀, 사제지간, 쌍방삽질, 로맨틱코미디, 힐링물",90
66911680,남편이 회귀를 숨김 그래서 나도 숨김,설이수,웹소설,로판,"계약 남편이 죽고 난 뒤에야 알게 되었다.
그가 그녀를 살리기 위해 수천 번의 시간을 되돌렸다는 것을.","월, 화, 수, 목, 금",All,9077126,46513,460373,//page-images.kakaoentcdn.com/download/resource?kid=gBDch/hAJq5arLfz/rd8HhRmjqMCVmHwnGrfKnK&filename=o1,"로맨스판타지, 회귀물, 기억상실, 계약관계, 착각물, 소유욕/독점욕, 집착남, 오만남, 순정남, 까칠남, 무심녀, 외유내강, 후회녀, 쌍방삽질",147
56598258,흑백무제,현임,웹소설,무협,"최초로 흑도를 통합한 흑도대종사, 흑암제 연호정.
삼교의 난(亂)으로 정파와 손을 잡고 그들을 물리치지만, 무림맹주의 계략에 휘말려 한스러운 삶을 마감하는데.

""....진짜 내 집이다!""

눈을 떠 보니 무림 최고 명문가이자 과거 멸문했던 연가(燕家),
한시도 잊은 적 없던 그의 집에 와 있었다.

""이번만큼은 실수하지 않아. 절대로.""

가문의 멸문을 막고, 훗날 창궐할 삼교(三敎)의 난을 막기 위해 질주한다! 대공자 연호정의 고군분투 무림 통합기.","월, 화, 수, 목, 금",All,331204471,1018112,9911376,//page-images.kakaoentcdn.com/download/resource?kid=6j3IV/hzVqFxN94R/3hfSbYokWQ040EktRuFEz1&filename=o1,"전쟁, 회귀, 천재, 성장, 사파, 명문세가, 망나니",1527
59496683,점괘보는 공녀님,사이딘,웹소설,로판,"귀신 보는 능력을 가진 탑배우 이시아.
사고 후 ‘카밀라 소르펠’의 몸에서 눈을 뜬다.

문제는 말이지.

“아, 아버지! 살려 주세요!”

이 여자의 끝이 매번 죽음이라는 것!

목숨줄 늘리는 게 우선이니, 일단 여기 터줏대감 귀신들과 대화부터 좀 해 볼까?


“곧 이혼하시겠네.”
“…뭐라?”

흥얼거리듯 내뱉은 한마디에 회의장 안의 분위기가 다시 싸해지고.

“지금 뭐라고 지껄……!”
“부하의 아내라.”

이어진 말에 상대의 얼굴에 당혹감이 그대로 드러났다.

“그것도 가장 아끼는 부하의 아내군요.”
“무, 무슨……!”


“내 소문 들은 적 없어?”

카밀라가 빙그레 웃으며 한 걸음 더 다가갔다.

“소르펠 가문의 공녀가 점괘 좀 본다는 말.”","월, 수, 금, 토, 일",All,92631280,294735,2926774,//page-images.kakaoentcdn.com/download/resource?kid=FZKLG/hAdNTyhuoW/uNk4ln7cBrJVzCnBUMTlv0&filename=o1,"로맨스판타지, 타임슬립, 영혼체인지, 회귀물, 까칠남, 왕족/귀족, 직진남, 능력녀, 도도녀, 걸크러쉬, 사이다녀, 철벽녀, 털털녀",340
63850447,버림받은 아기 왕녀로 환생했습니다,빅노아,웹소설,로맨스,"대한민국 최고의 암살자였던 나는 유일하게 믿었던 이에게 배신당해 죽었다.
다시 태어난다면 그 누구도 믿지 않고, 암살과도 관련 없는 삶을 살기를 바랐는데.

“우?!”
 
느닷없이 조선시대의 아기 공주로 환생해버렸다?! 

""얼른 뒤집어 눕히게!”
“아기는 엎드려 놓기만 해도 곧잘 죽어. 굳이 우리가 손쓸 필요도 없다.”

그것도 태어나자마자 암살 위협에 시달리는 ‘버림받은 왕녀’로! 

‘이번에도 암살 당하고 싶진 않아!’ 

어떻게든 힘을 키워 궁에서 살아남아야만 한다!
그래서 필사적으로 살아남기 위해 애썼을 뿐인데. 

* 

“네가 이리 영특하게 자란 것을 보니 참으로 대…….”
“?”
“대장군을 해도 되겠구나.”
 
형제를 죽이고 왕위에 올랐다는, 피도 눈물도 없는 왕도.

“원하는 것이… 금괴도, 권력도 아닌… 고작 사람답게 사는 것뿐이라는 게냐.” 

공자님 가라사대 염불만 외는 고지식한 첫째 오라버니도.

“선택해 봐. 누가 더 좋은지. 나와 형님 중 한 사람만.” 

날 장난감처럼 가지고 놀던 싸이코 둘째 오라버니도. 모두…… 

“살거라. 내 반드시 네가 꿈꾸는 세상을 보여줄테니.”
“내가 글씨를 계속 못 써도?”
“괜찮다.”
“내가 계속 이름 없는 버림받은 왕족이라도?”
“그래.”

내가 잘 살아가기를 바란단다.
마치 진짜 가족이라도 되는 것처럼. 

‘다신 그 누구도 믿지 않기로 했는데.'
 
...자꾸만 마음이 간지럽다.
 
*
 
하지만 나는 곧 깨달았다.
이곳은 사실 전생에 읽은 소설 속이고.
 
""엥? 내가 열 살이 되는 해에 죽는다고?"" 

나는 얼마 뒤 꼼짝없이 죽임당할 엑스트라라는 걸!
과연 나는 이 피바람이 몰아치는 궁 안에서 무사히 살아남을 수 있을 것인가!


#환생#책빙의#육아물#먼치킨여주#성장물#여동생바보오빠만다섯#최강자아빠#상처치유물","수, 목, 금, 토, 일",All,5380147,14289,139767,//page-images.kakaoentcdn.com/download/resource?kid=bBN8wQ/hAFPMekMZe/u6ntlHGWY0wcd7YgWff8G1&filename=o1,"동양풍, 궁정로맨스, 육아물, 빙의물, 능력녀, 사이다녀, 치유물, 암투물, 퓨전사극",289
62961130,남궁세가 손녀딸의 귀환,The eun,웹소설,로판,"버림받은 줄 알았던 내가 남궁이 오래도록 찾던 아이였다.
스승이라 부르던 혈마에게 죽임을 당할 때야 그 사실을 알게 되고,
열세 살 아이로 다시 깨어난 나는 남궁으로 돌아가기로 마음먹었다.

가족으로 인정받고 싶은 생각은 없었다.
그저, 이전처럼 남궁이 허망하게 멸문되는 것을 막으려 했을 뿐인데….

""가주님께서 아가씨께 내리신 패물과 비단, 금괴와 영약입니다.""
""자, 꼬맹아. 내가 주는 귀환 축하 선물이다.""

남궁에서 잃어버린 손녀로 인정받자마자
맛있는 음식도, 귀한 의복도, 금은보화도, 질 좋은 검도 생겼다!

나를 위해 울고 웃어주는 할아버지와 아빠가 생겼다.

그럴 때마다 느껴지는 가슴이 간질간질한 감각은 도대체 뭘까?

내 손으로 죽였던 이들의 웃음을 지켜주기 위해서,
이 간지럽고 따뜻한 감각을 오래도록 간직하기 위해서,
핏빛으로 물들 미래를 지난 생과는 다르게 바꾸려 하는데….


* * * 


남궁무천의 얼굴에 그늘이 서렸다.

'이 아이는 정말로 살수로 길러진 것인가.'

짙은 살기와 살수에게는 필수적이라 할 수 있는 속성의 검법은 그녀의 삶을 고스란히 담고 있었다.

'망할 새끼.'

남궁무천의 속에서 분노가 치밀어 올랐다.
상스러운 욕지거리가 흘러나오려는 것을 손녀의 앞이라 속으로만 뇌까렸다.

'내 손녀를 감히 살수로 기르려 해?'

남궁무천을 감싼 푸른 기운이 더욱 거세졌다.


The eun 장편 무협 로맨스판타지 소설 <남궁세가 손녀딸의 귀환>","화, 수, 금, 토",All,48666555,178001,1755812,//page-images.kakaoentcdn.com/download/resource?kid=uCk8y/hAKLEQifIs/g2eswkzTbemlVCPScBmKyK&filename=o1,"로맨스판타지, 먼치킨, 무협물, 가족물, 회귀물, 권선징악",490
