url,title,author,view,recommend,tag,synopsis,count,img
https://www.webnovel.com/book/infinite-awakening-my-exp-doubles-everyday_32108285700788505,Infinite Awakening: My Exp Doubles Everyday,MrKonic,2.7M Views,4.49,N/A,"Xiang Yu was perfectly content with his mediocre life on Earth—average job, average apartment, average everything. That is, until he woke up in the legendary World of Cultivation, where martial artists fly through the skies and immortals battle over ancient treasures.

There's just one problem: Xiang Yu wants absolutely NONE of that action.

Armed with only his wits and a peculiar system that doubles his exp every 24 hours, Xiang Yu has one goal: become powerful enough to live in peace without getting involved in those ridiculous ""protagonist"" situations. No ancient tombs. No tournament arcs. And for heaven's sake, stay FAR away from anyone named Chen Mo, Lin Feng, or Li Yao—those names practically scream ""main character who will drag me into deadly situations!""

Starting with strength stats so pathetic he can barely lift a cultivation manual, Xiang Yu must somehow survive long enough for his exponential growth to matter. After all, doubling zero cultivation talent still equals zero... at first.

Follow Xiang Yu on his hilarious journey from zero to hero as he desperately tries to stay invisible while his power skyrockets beyond control! Watch as he dodges cultivation tournaments, avoids suspicious elders bearing gifts, and runs the other way whenever someone mentions ""ancient inheritance"" or ""chosen one.""

Join the adventure of the most reluctant cultivator in history whose only wish is peace and quiet, but whose exponential growth makes him the most terrifying force this cultivation world has ever seen!

—————

Discord: https://discord.gg/UA679N6znA
Wiki: https://infinite-awakening-my-exp-doubles-everyday.fandom.com/

Update = 2 Chapters Daily",408 Chapters,https://book-pic.webnovel.com/bookcover/32108285700788505?imageMogr2/thumbnail/600x&imageId=1741953343461
https://www.webnovel.com/book/switched-marriage-the-coddled-little-wife_31150776408307705,N/A,N/A,21 chs / week,4.28,N/A,"After dying in a car accident, Lin Chu Xia awakens to find herself returned to the age of twenty, the year she was supposed to be married, along with her elder sister Lin Jia Yi who has also been reborn. The first thing her sister does is snatch away the man she was once married to, who in her previous life was extremely wealthy. Not only that, Lin Jia Yi insists on giving Lin Chu Xia her own apathetic and workaholic husband from the past life who rarely returned home.
Lin Chu Xia laughs, as this arrangement suits her just fine, hoping her kind sister does not regret her decision. She's curious to see if her indifferent ex-husband can rise to be the highly pursued President Li without her. As for herself, armed with full skills and a space ability, she doesn’t mind the lack of parental love, because her in-laws are there to dote on her. She starts businesses and factories, living a life that becomes more prosperous by the day.
As for that workaholic husband who barely comes home twice a year? It doesn’t matter to her, as long as it doesn't interfere with her money-making, she’s content to be his invisible woman in the background.
...
Qin Yang, compelled by his mother’s heartfelt words, returns home to marry a young bride. A man who prioritizes work over family, he thinks providing money is fulfilling his duty as a husband. However, he discovers that his wife has more money, a larger presence, broader connections, and is adored by everyone she meets—leaving him in a daze.
Between clenched teeth, Qin Yang decides: If money won’t work, he’ll leave her with kids!",N/A,https://book-pic.webnovel.com/bookcover/31150776408307705?imageMogr2/thumbnail/600x&imageId=1739498962974
https://www.webnovel.com/book/my-antique-mirror-is-a-portal-to-another-world_32612038108453105,My Antique Mirror Is A Portal To Another World,ColorfulAutumnWind,1.3M Views,4.89,N/A,"After her grandfather's death, Bai Hanyun was disowned by her parents and cast out of the Bai family. With nowhere else to go, she left the city and returned to the countryside. There, by a twist of fate, she discovered an antique mirror hidden in the basement of her newly purchased home. From that moment on, strange events began to unfold—until one day, she stumbled upon a prayer from a young general.

Feng Xiyan, besieged by the Yuezhi Tribe and betrayed by the imperial court, had been driven into a desperate corner. With no access to water, food, or medicine, he and the citizens of Xiqiang City could do nothing but await death. But just as all hope seemed lost, Heaven intervened. From that moment on, the Feng Army and the people of Xiqiang City had enough food and water, living lives more prosperous than even the Emperor himself.",251 Chapters,https://book-pic.webnovel.com/bookcover/32612038108453105?imageMogr2/thumbnail/600x&imageId=1746238838197
https://www.webnovel.com/book/demonic-pornstar-system_32444714800937905,Demonic Pornstar System,NecroBin,2.5M Views,4.6,N/A,"Diving into dungeons, slaying monsters, and… filming porn?

When the mana apocalypse struck, 15% of humanity awakened supernatural abilities, becoming the world’s new superstars: conquering dungeons, leveling up, and raking in fame and fortune.

Kaiden wasn’t one of them.

Stuck among the powerless 85%, he was just another broke college student, until a banana peel sent him tumbling into a very unconventional system.

Now, his path to power isn’t through leveling up alone, but through fame as well. To thrive in this new world, he’ll have to master more than just dungeon clears and combat...

Kaiden must conquer the world of adult content to rise to the apex.

Blending action, romance, and slice-of-life, this novel aims to deliver an unforgettable adventure!

...

There's a pinned review with many details on what you can expect from the story, but I'm going to answer here the one pressing question I imagine most of you will have:

Will the MC allow other men to see his harem members in action?

Initially, yes. But (SPOILER WARNING) he and his girls will come to a decision together in chapters 198-199, which is to appeal only to the female viewers because they need to increase the 'fangirl' stat to in turn increase the system's rank. From that point on, no males will be able to view their content.

As for the old content that's already out there, the system has a special quest for them, and if they nail it, that older material will be completely wiped from people's computers. It will cease existing altogether.

...

Discord:

https://discord.gg/bjunEkswQ3",321 Chapters,https://book-pic.webnovel.com/bookcover/32444714800937905?imageMogr2/thumbnail/600x&imageId=1750536892498
https://www.webnovel.com/book/horror-game-developer-my-games-aren't-that-scary!_31794711100879005,Horror Game Developer: My games aren't that scary!,Entrail_JI,1.5M Views,4.83,N/A,"[Horror Game Developer : My games really aren't that scary!]

I hate horror.

From the skittering sounds of footsteps racing behind me, to the soft yet unnervingly cold whispers curling around my ears...

All of it.

I hate it.

So much so that I start puking whenever I reach a certain threshold.

And yet, I am a Horror Game Developer.

A crappy one at that.

So, given my lack of ability, I decided to quit.

And yet...

[Congratulations, you've been selected for the Horror Game Developer System!]

Nope, I don't want it.

Let me quit.

※ Note : Your world might experience some changes. But don't worry! It's part of the game!

***

This is a story about a game developer who hates horror, but has no choice but to develop games scary enough to traumatize people.

You want to curse me for making you piss your pants?

If that's the case, who do I curse?

***

An SCP inspired story with its own twist!",272 Chapters,https://book-pic.webnovel.com/bookcover/31794711100879005?imageMogr2/thumbnail/600x&imageId=1744893587070
https://www.webnovel.com/book/the-extra-who-shouldn%E2%80%99t-exist_32354647000946305,The Extra Who Shouldn’t Exist,survivalArtist001,1.1M Views,4.6,N/A,"Discord link :-

https://discord.gg/czvmuyZ6xx


Alex was just another ordinary gamer—until the day he died. Struck down by a terminal illness, he found solace in his favorite game, a vast fantasy RPG filled with powerful warriors, intricate politics, and world-shaking events. But before he could see the game's ending, fate had other plans.

When he opens his eyes again, he’s no longer Alex from Earth. Instead, he’s Alex Dragonheart, a nameless extra in the very game he once played. Not a protagonist. Not even a villain. Just an unknown side character who was fated to die early, forgotten by history.

Armed with only half of the game’s knowledge, an unawakened bloodline, and a mysterious sealed skill, Alex is thrown into a brutal world where strength is everything. His beloved younger sister is sick and needs treatment, but his past self had been powerless to save her. Not anymore.

Determined to rewrite his fate, Alex will rise through the ranks, manipulate events from the shadows, and seize power that was never meant for him. If fate refuses to acknowledge him, then he’ll carve his own legend—one that even the gods will fear.

After all, in a world where only the strong survive, even an extra can become a nightmare.

( Okay guys just because there is a system tag does not mean he will get everything handed to him he will have to work hard to attain power because I will make it so )",189 Chapters,https://book-pic.webnovel.com/bookcover/32354647000946305?imageMogr2/thumbnail/600x&imageId=1755943435083
https://www.webnovel.com/book/grace-of-a-wolf_32072057300309605,Grace of a Wolf,Lenaleia,4.6M Views,4.74,N/A,"Grace Harper has always been an outsider—raised in a wolf pack that never truly accepted her, adopted by an alpha with too many secrets. When her ex-boyfriend leaves her for his mate and the truth of her adoption comes to light, Grace knows she has to leave… or die trying.

But her path to freedom slams into the Lycan King.

Cold, powerful, and burdened by the ghosts of a past he refuses to share, Caine doesn’t want Grace in his world. He doesn’t believe she belongs in any world but her own. And yet, with fate tethering their souls, his control begins to crack.

Grace never asked for his protection. She never asked to want him, either.

But something ancient is waking, and the deeper she dives into the truth of her past, the more she realizes: maybe she was never meant to be free. Maybe she was meant to change everything.

Starting with him.
----

*Grace of a Wolf* is the slightly unhinged romance between a human girl with inconvenient human morals and her mildly sociopathic fated mate—who also happens to be the Lycan King and has the emotional intelligence of a rock. Thankfully, their dangerously magnetic bond is (barely) balanced by found family chaos, a buttload of magic, and a fated mate connection that might actually kill her if they touch. Oops.

Just when you think you’re reading *yet another werewolf story*, the plot and worldbuilding sneak up behind you with claws, teeth, and actual stakes. It’s slow-burn, emotionally messy, and laced with the kind of tension that could kill—or kiss—you.

---

**WARNINGS:**
R18: Smutty smut smut. Also, dark themes, including but not limited to: Murder, attempted murder, a stack of dead bodies, betrayal, mild sociopathy, an ML who appears to bathe in red flags despite his favorite color being green, an unwarranted hatred of blueberry muffins, and pillow thievery.

A **slow burn**, spicy wolf shifter urban fantasy romance with a lot of random plot trying to knot-block everything. When the spice hits, please read responsibly. Thank you~

[WSA 2025 Contest Entry]",230 Chapters,https://book-pic.webnovel.com/bookcover/32072057300309605?imageMogr2/thumbnail/600x&imageId=1747332751548
https://www.webnovel.com/book/the-world-dragon's-heir_31648437108445205,The World Dragon's Heir,Aoki_Aku,1.3M Views,4.43,N/A,"After a decade on the run, fleeing from a foreign King who would see his whole lineage exterminated, Dominic had nearly given up on ever having a normal life.

But when he arrived in the Capital of Cygnia, where steam vehicles and Magitech had replaced traditional ways and old magics, he saw a chance to not only stop running, but perhaps get some vengeance for the fallen Dragonkin of the Wavemates Kingdom.

However, fate has a way of making the simplest of dreams into something much more complex, as Dominic was about to learn firsthand. When Dragonkin and Bookworm Princesses meet, chaos is nearly guaranteed, and romantic sparks are bound to fly.

(Intended to be read standalone, but set in the same multiverse as Reincarnated With a Summoning System and The First Legendary Beast Master)

discord.gg/aokiaku

#Fallen Prince #Royal Drama #dragon magic #manapunk #magitech",260 Chapters,https://book-pic.webnovel.com/bookcover/31648437108445205?imageMogr2/thumbnail/600x&imageId=1751249444468
https://www.webnovel.com/book/high-martial-arts-invincible-starts-from-basic-archery_32284220100581305,N/A,N/A,21 chs / week,4.35,N/A,"Chen Fan transmigrates to a Spiritual Qi-revived Martial Arts world and acquires a martial arts panel.
Not only can it enhance the body, but it can also improve skill levels, unlock skill-specific traits, and continuously upgrade.
Basic Archery Level 1, Traits: Strengthening the Body Level 1, Superhuman Arm Strength Level 1, Slow Fire Level 1
Basic Archery Level 3, Traits: Strengthening the Body Level 3, Superhuman Arm Strength Level 3, Slow Fire Level 3, Mounted Archery Level 1
Basic Archery Level 6, Traits: Strengthening the Body Level 6, Superhuman Arm Strength Level 6, Slow Fire Level 6, Mounted Archery Level 4, Rapid Fire Level 1
From Basic Fist Technique, Basic Step Technique, to Tai Chi Fist, Xingyi Fist, Eight Trigrams Palm, and Yi Jin Jing...
Step by step, he ascends toward the pinnacle of the world.",N/A,https://book-pic.webnovel.com/bookcover/32284220100581305?imageMogr2/thumbnail/600x&imageId=1747278793409
https://www.webnovel.com/book/the-duke's-masked-wife-2-the-prince's-outcast-bride_32369778508489205,The Duke's Masked Wife 2: The Prince's Outcast Bride,Violet_167,1.0M Views,4.83,N/A,"Marked as cursed and a murderer after a mysterious death, Penelope becomes the Lockwoods' outcast. Despite the towns' interest in ruining her, the crown prince ignores all pleas not to court her. With the help of the prince Tyrion Castro, Penelope unravels secrets linked to her parents' past and reclaims her innocence. Betrayal, danger, and love collide in her fight for the truth.",340 Chapters,https://book-pic.webnovel.com/bookcover/32369778508489205?imageMogr2/thumbnail/600x&imageId=1747280318338
